country_region,sub_region_1,parks_percent_change_from_baseline,workplaces_percent_change_from_baseline
Indonesia,Jambi,25,-6
Indonesia,Jambi,-2,-2
Indonesia,Jambi,16,0
Indonesia,Jambi,3,0
Indonesia,Jambi,2,-2
Indonesia,Jambi,1,0
Indonesia,Jambi,1,3
Indonesia,Jambi,3,2
Indonesia,Jambi,-15,-5
Indonesia,Jambi,8,1
Indonesia,Jambi,14,5
Indonesia,Jambi,1,0
Indonesia,Jambi,2,2
Indonesia,Jambi,4,4
Indonesia,Jambi,1,3
Indonesia,Jambi,-1,4
Indonesia,Jambi,-1,5
Indonesia,Jambi,-1,9
Indonesia,Jambi,7,0
Indonesia,Jambi,3,4
Indonesia,Jambi,-1,5
Indonesia,Jambi,-9,3
Indonesia,Jambi,-4,8
Indonesia,Jambi,-8,4
Indonesia,Jambi,0,7
Indonesia,Jambi,0,3
Indonesia,Jambi,-7,9
Indonesia,Jambi,-1,5
Indonesia,Jambi,2,5
Indonesia,Jambi,-2,9
Indonesia,Jambi,-3,4
Indonesia,Jambi,-1,5
Indonesia,Jambi,-6,4
Indonesia,Jambi,2,4
Indonesia,Jambi,-6,7
Indonesia,Jambi,32,-49
Indonesia,Jambi,-3,4
Indonesia,Jambi,8,9
Indonesia,Jambi,12,11
Indonesia,Jambi,1,6
Indonesia,Jambi,10,10
Indonesia,Jambi,-4,5
Indonesia,Jambi,3,7
Indonesia,Jambi,6,10
Indonesia,Jambi,3,-1
Indonesia,Jambi,3,6
Indonesia,Jambi,-1,0
Indonesia,Jambi,1,2
Indonesia,Jambi,11,3
Indonesia,Jambi,15,16
Indonesia,Jambi,14,6
Indonesia,Jambi,13,4
Indonesia,Jambi,9,7
Indonesia,Jambi,3,7
Indonesia,Jambi,99,27
Indonesia,Jambi,25,27
Indonesia,Jambi,41,19
Indonesia,Jambi,14,-54
Indonesia,Jambi,29,16
Indonesia,Jambi,28,14
Indonesia,Jambi,39,20
Indonesia,Jambi,56,50
Indonesia,Jambi,147,-58
Indonesia,Jambi,178,-53
Indonesia,Jambi,7,15
Indonesia,Jambi,49,25
Indonesia,Jambi,49,48
Indonesia,Jambi,50,36
Indonesia,Jambi,63,29
Indonesia,Jambi,67,24
